threat_id,scenario,element_id,element,element_type,data_flow_ref,trust_boundary_ref,stride,mitre_attack,owasp_top_10_2025,mitre_atlas,owasp_top_10_for_llm,linddun,owasp_ml_sec_top_10_2023,threat_description,attack_preconditions,security_impact,architecture_evidence,threat_validity,architecture_grounding,stride_assessment,duplicate_status,canonical_threat_id,mitigation,sdl_stage,cvss_vector,cvss_score,cvss_rationale,reference_threat_id,reviewer_validation_basis
T1.01,Scenario 1 — LLM-Integrated Authentication Assistant,P1,P1 — Web Frontend Interface,Process,DF16: Chatbot Answer -> P1,TB1: External User / Application Environment,Tampering,T1059.007: JavaScript,A03:2021 - Injection (XSS),AML.T0054: LLM Output Manipulation,LLM02: Insecure Output Handling,Disclosure of Information,ML06: AI Supply Chain & Output Integrity,"Cross-Site Scripting (XSS) via unescaped rendering of processed AI chatbot answers (DF16), allowing attacker-injected script payloads to execute in victim browser context.",Attacker submits prompt injection query or triggers malicious AI answer rendering in client browser.,"Compromise of client session tokens, DOM defacement, or forced unauthorized client-side actions.",P1 receives DF16 Chatbot Answer and displays it to EE1. Untrusted LLM output rendered without contextual escaping creates an execution vector in the browser.,Valid,Fully grounded,Correct,Unique,T1.01,Enforce contextual HTML entity encoding and DOMPurify sanitization before rendering chatbot responses; implement a strict Content Security Policy (CSP).,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1,"Network accessible, low complexity, requires user interaction (viewing response), results in High Confidentiality and Integrity impact.",Not available from supplied architecture.,Audited against architecture: P1 handles client-side display of untrusted LLM-generated output across TB1 without server-side browser execution control.
T1.02,Scenario 1 — LLM-Integrated Authentication Assistant,P2,P2 — Authentication Service,Process,DF5: Login Request / DF6: Credential Submission,TB1: External User / Application Environment,Spoofing,T1110.001: Password Guessing / T1110.003: Credential Stuffing,A07:2021 - Identification and Authentication Failures,,,Identifiability,,Automated brute-force attacks and credential stuffing against the login endpoint to impersonate legitimate user accounts.,Public network access to authentication endpoint and availability of credential lists.,Unauthorized access to victim accounts and compromise of authentication state.,EE1 submits login credentials (DF5) forwarded via P1 to P2 (DF6). Credential verification entry point creates an authentication attack surface.,Valid,Fully grounded,Correct,Unique,T1.02,"Implement adaptive rate limiting on login submission endpoints, progressive delays, account lockout policies, and breached credential checks.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,"Network vector, low complexity, no privileges required, no user interaction, High Confidentiality and Integrity impact.",Not available from supplied architecture.,Audited against architecture: P2 is the primary credential verification handler receiving untrusted login submissions across TB1.
T1.03,Scenario 1 — LLM-Integrated Authentication Assistant,P2,P2 — Authentication Service,Process,DF4: Registration Result / DF8: Authentication Verification Result,TB1: External User / Application Environment,Information Disclosure,T1589.002: Gather Victim Identity Information - Email Addresses,A07:2021 - Identification and Authentication Failures,,,Detectability & Identifiability,,User enumeration via differential error responses or execution timing discrepancies during credential verification.,Attacker submits login or registration requests with target usernames and measures response behavior.,"Discovery of valid usernames, facilitating targeted brute-force and phishing attacks.",P2 determines login/registration success or failure (DF4/DF8) and returns status to P1. Distinct error messages or unpadded timing expose user presence.,Valid,Fully grounded,Correct,Unique,T1.03,Return uniform generic authentication error messages ('Invalid username or password') and use constant-time verification logic.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,"Network accessible, low complexity, no privileges required, Low Confidentiality impact.",Not available from supplied architecture.,Audited against architecture: P2 error responses across DF4/DF8 propagate to client P1 across TB1.
T1.04,Scenario 1 — LLM-Integrated Authentication Assistant,P2,P2 — Authentication Service,Process,DF6: Credential Submission,TB1: External User / Application Environment,Denial of Service,T1499.002: Endpoint Denial of Service - Service Exhaustion,A05:2021 - Security Misconfiguration,,,Unawareness / Non-compliance,,"High-cost password hashing denial of service: attacker floods login submission endpoints with requests, exhausting P2 CPU resources on password hash calculations.",Unrestricted concurrent access to the login submission endpoint.,"Authentication service CPU starvation, leading to login denial of service for all users.","DF6 delivers credentials to P2, which executes cryptographic password hashing routines. Unthrottled submissions exhaust server processing capacity.",Valid,Fully grounded,Correct,Unique,T1.04,Apply per-IP and per-subnet ingress rate limits and asynchronous hashing queues with concurrency limits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,"Network vector, low complexity, no privileges required, High Availability impact.",Not available from supplied architecture.,Audited against architecture: P2 performs computationally heavy Argon2id/bcrypt operations on DF6.
T1.05,Scenario 1 — LLM-Integrated Authentication Assistant,P3,P3 — Session Management Module,Process,DF10: Session Token,TB1: External User / Application Environment,Spoofing,T1539: Steal Web Session Cookie / T1552: Unsecured Credentials,A07:2021 - Identification and Authentication Failures,,,Linkability & Identifiability,,Session token predictability or weak entropy in token generation allows an attacker to forge valid session tokens and hijack authenticated user sessions.,Session tokens generated using pseudo-random generators with low entropy.,Complete session hijacking without needing user credentials.,P3 generates session tokens (DF10) returned to P1. Predictable tokens undermine session authentication authority.,Valid,Fully grounded,Correct,Unique,T1.05,Generate session tokens using cryptographically secure pseudo-random number generators (CSPRNG) with at least 128 bits of entropy.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,"Network vector, low complexity, no privileges required, High Confidentiality and Integrity impact.",Not available from supplied architecture.,Audited against architecture: P3 is solely responsible for generating session tokens across DF10.
T1.06,Scenario 1 — LLM-Integrated Authentication Assistant,P3,P3 — Session Management Module,Process,DF9: Session Creation Request / DF10: Session Token,TB1: External User / Application Environment,Elevation of Privilege,T1539: Steal Web Session Cookie,A07:2021 - Identification and Authentication Failures,,,Linkability,,"Session fixation vulnerability: pre-authentication session identifier is preserved post-login, allowing an attacker to fix a known session ID and access the authenticated account.",Attacker induces victim to authenticate using a pre-established session token.,Unauthorized access to victim authenticated account state.,P3 manages session state creation upon DF9 request. Preserving existing session tokens across authentication boundaries enables fixation.,Valid,Fully grounded,Correct,Unique,T1.06,"Regenerate and issue a new session token upon successful authentication, immediately invalidating old pre-login identifiers.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1,"Network vector, low complexity, requires user interaction, High Confidentiality and Integrity impact.",Not available from supplied architecture.,Audited against architecture: P3 session creation workflow triggered on successful login verification.
T1.07,Scenario 1 — LLM-Integrated Authentication Assistant,P4,P4 — AI Chatbot Component,Process,DF11: Chatbot Question,TB1: External User / Application Environment,Tampering,T1059: Command and Scripting Interpreter,A03:2021 - Injection,AML.T0051: LLM Prompt Injection,LLM01: Prompt Injection,Non-compliance,ML01: Adversarial Robustness & Input Manipulation,Direct prompt injection via user-supplied chatbot queries (DF11) manipulating system prompt context to elicit unauthorized guidance or system disclosures.,Attacker submits adversarial natural-language prompts via the chatbot input interface.,Subversion of assistant behavior and delivery of misleading or unsafe authentication advice.,P4 receives untrusted free-text input (DF11) crossing TB1 and forwards it to P5. Prompt injection directly targets P4/P5 processing.,Valid,Fully grounded,Correct,Unique,T1.07,"Apply structural prompt isolation (delimiters), input sanitization, and intent classification filters on incoming queries.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,"Network vector, low complexity, no privileges required, Low Confidentiality and Integrity impact.",Not available from supplied architecture.,Audited against architecture: P4 receives unauthenticated free-form text input from EE1.
T1.08,Scenario 1 — LLM-Integrated Authentication Assistant,DF12,DF12 — Prompt Request,Data Flow,DF12: Prompt Request -> P5 / DF13: Prompt and Context Data -> EE2,TB2: Application Environment / External LLM Provider,Information Disclosure,T1552: Unsecured Credentials,A01:2021 - Broken Access Control,AML.T0024: LLM Data Leakage,LLM06: Sensitive Information Disclosure,Disclosure of Information,ML09: Model Inversion / Training Data Leakage,Sensitive authentication secret leakage: prompt assembly logic inadvertently includes session tokens (DF10) or user credentials in the prompt sent across TB2 to the External LLM Provider.,Improper context extraction in P4 including session credentials in contextual queries.,Exposure of sensitive session tokens or user authentication secrets to third-party LLM service.,Architecture explicitly mandates: 'session tokens and authentication secrets must not be provided to the LLM'. Flaws in P4/P5 context construction violate this constraint.,Valid,Fully grounded,Correct,Unique,T1.08,Enforce strict schema-level data minimization and automated secret filtering on P4/P5 prompt builders before transmitting DF13.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,"Network vector, low complexity, requires low privileges, High Confidentiality impact.",Not available from supplied architecture.,Audited against architecture: Explicit security requirement strictly isolates session tokens from LLM context.
T1.09,Scenario 1 — LLM-Integrated Authentication Assistant,P5,P5 — LLM Integration Service,Process,DF13: Prompt and Context Data,TB2: Application Environment / External LLM Provider,Information Disclosure,T1552.001: Credentials in Files / Logs,A05:2021 - Security Misconfiguration,,,Disclosure of Information,,"Server-side LLM provider API credentials are leaked through unredacted application logs, stack traces, or client-accessible error messages.",Application logging or error handling routines print raw request headers or configuration state.,"Compromise of provider API keys, enabling unauthorized external API usage and quota theft.",P5 holds server-side credentials to communicate with EE2 across TB2. Explicit requirement: API key is server-side secret material.,Valid,Fully grounded,Correct,Unique,T1.09,Store API keys in dedicated secret stores and redact authorization headers from all application logs and diagnostics.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,"Network vector, low complexity, no privileges required, High Confidentiality impact.",Not available from supplied architecture.,Audited against architecture: P5 authenticates to EE2 across TB2 using server-side credentials.
T1.10,Scenario 1 — LLM-Integrated Authentication Assistant,P5,P5 — LLM Integration Service,Process,DF13: Prompt and Context Data / DF14: Generated Response,TB2: Application Environment / External LLM Provider,Denial of Service,T1499: Endpoint Denial of Service,A05:2021 - Security Misconfiguration,AML.T0029: Denial of ML Service,LLM04: Model Denial of Service,Unawareness,ML04: Resource Depletion,"Exhaustion of upstream LLM API rate limits or connection pools due to rapid prompt submissions, causing denial of service for all AI chatbot features.",Attacker floods P4/P5 with automated chatbot queries.,Inability of legitimate users to access the AI authentication assistant.,P5 communicates synchronously with EE2 across TB2. Third-party rate limits or latency spikes exhaust worker threads.,Valid,Fully grounded,Correct,Unique,T1.10,"Implement circuit breakers, token bucket rate limiters, request timeouts, and graceful degradation responses.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,"Network vector, low complexity, no privileges required, High Availability impact.",Not available from supplied architecture.,Audited against architecture: P5 depends on external synchronous HTTP API across TB2.
