id,description,type,valid
1,Incorrect STRIDE category,Categorization,true
1,Incorrect OWASP TOP 10 for LLM category,Categorization,true
1,Incorrect MITRE ATLAS category,Categorization,true
1,Incorrect LINDDUN category,Categorization,true
1,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
1,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Unauthorized Access]]""",CVSS,true
2,Incorrect OWASP Top 10 2025 category,Categorization,true
2,Incorrect OWASP TOP 10 for LLM category,Categorization,true
2,Incorrect MITRE ATLAS category,Categorization,true
2,Incorrect LINDDUN category,Categorization,true
2,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
2,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Elevation of Privilege]]""",CVSS,true
3,Incorrect OWASP Top 10 2025 category,Categorization,true
3,Incorrect MITRE ATT&CK category,Categorization,true
3,Incorrect OWASP TOP 10 for LLM category,Categorization,true
3,Incorrect MITRE ATLAS category,Categorization,true
3,Incorrect LINDDUN category,Categorization,true
3,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
3,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P5, STRIDE : Data Tampering]]""",CVSS,true
4,Incorrect STRIDE category,Categorization,true
4,Incorrect OWASP Top 10 2025 category,Categorization,true
4,Incorrect OWASP TOP 10 for LLM category,Categorization,true
4,Incorrect MITRE ATLAS category,Categorization,true
4,Incorrect LINDDUN category,Categorization,true
4,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
4,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Access Control Bypass Vulnerability]]""",CVSS,true
5,Incorrect OWASP Top 10 2025 category,Categorization,true
5,Incorrect MITRE ATT&CK category,Categorization,true
5,Incorrect OWASP TOP 10 for LLM category,Categorization,true
5,Incorrect MITRE ATLAS category,Categorization,true
5,Incorrect LINDDUN category,Categorization,true
5,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
5,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Data Tampering]]""",CVSS,true
6,Incorrect OWASP Top 10 2025 category,Categorization,true
6,Incorrect MITRE ATT&CK category,Categorization,true
6,Incorrect OWASP TOP 10 for LLM category,Categorization,true
6,Incorrect MITRE ATLAS category,Categorization,true
6,Incorrect LINDDUN category,Categorization,true
6,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
6,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P5, STRIDE : Data Tampering]]""",CVSS,true
7,Incorrect OWASP Top 10 2025 category,Categorization,true
7,Incorrect OWASP TOP 10 for LLM category,Categorization,true
7,Incorrect MITRE ATLAS category,Categorization,true
7,Incorrect LINDDUN category,Categorization,true
7,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
7,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Elevation of Privilege]]""",CVSS,true
8,Incorrect OWASP Top 10 2025 category,Categorization,true
8,Incorrect MITRE ATT&CK category,Categorization,true
8,Incorrect OWASP TOP 10 for LLM category,Categorization,true
8,Incorrect MITRE ATLAS category,Categorization,true
8,Incorrect LINDDUN category,Categorization,true
8,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
8,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P2, STRIDE : Data Tampering]]""",CVSS,true
9,Incorrect OWASP Top 10 2025 category,Categorization,true
9,Incorrect MITRE ATT&CK category,Categorization,true
9,Incorrect OWASP TOP 10 for LLM category,Categorization,true
9,Incorrect MITRE ATLAS category,Categorization,true
9,Incorrect LINDDUN category,Categorization,true
9,Incorrect OWASP ML Security Top 10 2023 category,Categorization,true
9,"Invalid CVSS vector: Malformed CVSS3 field ""[[component : P5, STRIDE : Data Tampering]]""",CVSS,true
1,Unsupported element type,Categorization,true
2,Unsupported element type,Categorization,true
3,Unsupported element type,Categorization,true
4,Unsupported element type,Categorization,true
5,Unsupported element type,Categorization,true
6,Unsupported element type,Categorization,true
7,Unsupported element type,Categorization,true
8,Unsupported element type,Categorization,true
9,Unsupported element type,Categorization,true
1,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
1,Potentially unrelated MITRE ATT&CK category,Embedding,true
1,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
1,Potentially unrelated MITRE ATLAS category,Embedding,true
1,Potentially unrelated LINDDUN category,Embedding,true
1,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
2,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
2,Potentially unrelated MITRE ATT&CK category,Embedding,true
2,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
2,Potentially unrelated MITRE ATLAS category,Embedding,true
2,Potentially unrelated LINDDUN category,Embedding,true
2,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
3,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
3,Potentially unrelated MITRE ATT&CK category,Embedding,true
3,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
3,Potentially unrelated MITRE ATLAS category,Embedding,true
3,Potentially unrelated LINDDUN category,Embedding,true
3,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
4,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
4,Potentially unrelated MITRE ATT&CK category,Embedding,true
4,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
4,Potentially unrelated MITRE ATLAS category,Embedding,true
4,Potentially unrelated LINDDUN category,Embedding,true
4,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
5,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
5,Potentially unrelated MITRE ATT&CK category,Embedding,true
5,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
5,Potentially unrelated MITRE ATLAS category,Embedding,true
5,Potentially unrelated LINDDUN category,Embedding,true
5,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
6,Potentially unrelated MITRE ATT&CK category,Embedding,true
6,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
6,Potentially unrelated MITRE ATLAS category,Embedding,true
6,Potentially unrelated LINDDUN category,Embedding,true
6,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
7,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
7,Potentially unrelated MITRE ATT&CK category,Embedding,true
7,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
7,Potentially unrelated MITRE ATLAS category,Embedding,true
7,Potentially unrelated LINDDUN category,Embedding,true
7,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
8,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
8,Potentially unrelated MITRE ATT&CK category,Embedding,true
8,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
8,Potentially unrelated MITRE ATLAS category,Embedding,true
8,Potentially unrelated LINDDUN category,Embedding,true
8,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
9,Potentially unrelated OWASP Top 10 2025 category,Embedding,true
9,Potentially unrelated MITRE ATT&CK category,Embedding,true
9,Potentially unrelated OWASP TOP 10 for LLM category,Embedding,true
9,Potentially unrelated MITRE ATLAS category,Embedding,true
9,Potentially unrelated LINDDUN category,Embedding,true
9,Potentially unrelated OWASP ML Security Top 10 2023 category,Embedding,true
