Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S3-RT-001,Account recovery bypass through manipulation of recovery request handling,Spoofing,Authentication,P2 Account Recovery Service (reached via P1 Web Frontend),"DF1, DF2",TB1,User account information; recovery information,"Recovery requests submitted on DF1 and forwarded as details on DF2 carry manipulated content — omitted or reordered verification parameters, forged request state, or request shapes that reach token generation without the verification steps having been completed — so that a recovery token is issued on DF5 without the attacker having completed valid identity verification for the target account.","An attacker submits a recovery request whose content causes P2's request processing to skip or mishandle the verification steps and issue a token anyway; the token is delivered on DF7, the attacker completes recovery for an account they do not own, and operates as the legitimate account owner with all subsequent actions attributed to the victim.","Unauthorised account takeover: the attacker receives a valid recovery token on DF7 for an account they do not own, restores access to it, and operates as the legitimate account owner with all subsequent actions attributed to the victim.","The recovery workflow is the scenario's identity restoration mechanism and is exposed at TB1, the boundary that exists precisely because users submit externally controlled recovery requests there. No authentication or login component exists anywhere in the model, so the recovery path is the only modelled gate at which identity is re-established, and its request processing logic is the single control separating any external user from any account; attacks against a non-existent login flow are correspondingly out of scope. OWASP Top 10 A01 and A07 identify recovery flows as the canonical takeover path because they mint new credentials.","Catalogue entry T-01, retained with a STRIDE collapse: primary Spoofing, identity re-established without valid verification, with elevation of privilege recorded as the consequence. Architecture-only rewrite: the original's direct-invocation phrasing was generalised to request shapes that reach token generation without completed verification, since no undrawn path is assumed. The entry is the parent of the recovery takeover family: S3-RT-002 attacks the verification factors themselves, S3-RT-011 forges the verification result at the data layer, and S3-RT-003 to S3-RT-006 attack the token after or around generation, each with a distinct mitigation. Per the review's mandated distinction, this P2-path authority bypass is kept separate from the AI-guidance entries: manipulated guidance (S3-RT-025, S3-RT-026) never constitutes a recovery bypass.",Critical,Medium,No,Medium,YES
S3-RT-002,Weak identity verification exploitation through guessable verification factors,Spoofing,Authentication,P2 Account Recovery Service; DS1 User Database,"DF3, DF4",TB2,Identity verification data; recovery information,"The attacker submits repeated recovery requests on DF1 containing guessed verification answers, harvesting the differentiating responses returned on DF7; if the verification information held in DS1 and checked over DF3 and DF4 consists of weak or low-entropy factors — a property the architecture does not constrain — verification eventually succeeds, because no attempt limiting, lockout or attempt ceiling is represented anywhere in the model.","An attacker targets an account whose verification factors are researchable or predictable and submits guessed answers across repeated requests; nothing in the model throttles the attempts, the verification eventually succeeds, and token generation is triggered for the attacker, while accounts with predictable factors fall to untargeted mass exploitation.","Verification succeeds for targeted accounts and token generation is triggered for the attacker, while accounts whose verification factors are predictable fall to untargeted mass exploitation.","The strength of the recovery control equals the entropy and secrecy of the verification data in DS1, which the architecture lists among its stored assets; verification factors of this knowledge-based kind are characteristically enumerable from public information about a user, and the drawn model represents no throttling of any kind on the DF1-to-DF4 path. OWASP authentication failure guidance under Top 10 A07 treats insufficiently strong verification factors together with absent throttling as a single failure class. The flow pair DF3 and DF4 crosses TB2, the boundary drawn because recovery decisions depend on sensitive identity verification information.","Catalogue entry T-02, retained with conditional framing: the architecture does not constrain the strength or entropy of the verification information in DS1, so the entry is stated as a conditional weakness — if the factors are weak or low-entropy, repeated guessing succeeds in the absence of any modelled attempt limiting — rather than as a claim that they are definitely weak. Retained separately from S3-RT-001 because the mechanism differs: that entry defeats the enforcement logic of the recovery workflow, whereas here the verification factors are legitimately answered but should never have been sufficient; the mitigations differ, processing hardening versus factor strength and attempt limiting.",Critical,Medium,No,Medium,YES
S3-RT-003,Recovery token theft at the user boundary,Spoofing,Session Management,P1 Web Frontend (client environment of the End User),DF7,TB1,Recovery tokens,"The recovery token delivered to the user on DF7 is captured in the victim's client environment — through execution of attacker-supplied active content delivered by S3-RT-013 or S3-RT-027, or through interception of the delivery leg where transport protection is not specified — or exposed through client-side handling whose protection the architecture does not represent, and is redeemed by the attacker from the attacker's own client.","Active content executing in the victim's client context reads the delivered token where it is exposed to code executing there and exfiltrates it; the attacker then completes recovery as the victim, redeeming a legitimately issued, correctly bound token, and every action taken with it is attributed to the victim.","Unauthorised account takeover without any attack on the verification chain: the attacker redeems a legitimately issued, correctly bound token, and every action taken with it is attributed to the victim.","DF7 hands a bearer credential across TB1, the boundary that exists because externally controlled input enters there, and once delivered, the token's protection is delegated entirely to the client environment, which the model does not represent. STRIDE assigns Spoofing to the misuse of stolen authenticators at an external interactor crossing, with information disclosure as the enabling loss. The architecture stores token state in DS2 and can therefore bound the exposure window through expiry and single-use status, which is the concern of S3-RT-004; the present entry captures the theft itself.","Catalogue entry T-03, retained with a STRIDE collapse and an architecture-only rewrite: primary Spoofing, misuse of a stolen authenticator, with the enabling disclosure noted as secondary; implementation-specific client-side capture channels were generalised to active-content execution and unspecified client-side handling. The review's mandated leakage-versus-replay distinction is honoured: theft is this entry, replay is S3-RT-004, and a correctly enforced single-use status defeats replay even after a successful theft. Retained separately from S3-RT-016, which addresses systematic interception across sensitive flows, because here the asset is the recovery token and the control point is its delivery and client-side handling on DF7 specifically.",High,High,No,Medium,YES
S3-RT-004,Recovery token replay through insufficient single-use and expiry enforcement,Spoofing,Session Management,P2 Account Recovery Service; DS2 Recovery Token Storage,"DF5, DF6",TB4,Recovery tokens; session/account recovery state,"A token that has already been delivered or observed — whether stolen through S3-RT-003, intercepted through S3-RT-016, or simply retained after a legitimate recovery — is submitted again towards the validation path; DS2 returns token validation information on DF6 without the status record having been transitioned to used or expired, so the token validates a second time.","An attacker who observed a victim's token during the victim's recovery waits or acts immediately: the token is submitted again on the validation path, DS2's status record still permits it, and a second recovery completes outside the intended window, with the second redemption indistinguishable from the first in any record.","Account takeover outside the intended recovery window and persistence of attacker access after the legitimate user has completed recovery, with the second redemption indistinguishable from the first in any audit record.","DS2 is specified to hold active recovery tokens, token metadata, expiration information and consumption/invalidation state, which exists for no other purpose than enforcing one-time use and bounded validity, and TB4 is drawn around exactly this state because recovery tokens represent sensitive authentication state. OWASP session management guidance under Top 10 A07 requires invalidation at first use and short lifetimes for single-purpose credentials, and the absence of any modelled expiry enforcement makes the failure persistent rather than bounded.","Catalogue entry T-04, retained unchanged in substance, with one wording harmonisation in the mechanism. Retained separately from S3-RT-003 because a stolen token still has to be replayed to be useful, and a correctly enforced single-use status in DS2 defeats the replay even after a successful theft, which is why the two entries admit different mitigations, token protection versus lifecycle enforcement. Primary STRIDE is Spoofing: retransmission of a captured authenticator.",High,Medium,No,Medium,YES
S3-RT-005,Recovery token prediction through insufficient generation entropy,Spoofing,Session Management,P2 Account Recovery Service,DF5,TB4,Recovery tokens,"The attacker completes legitimate recovery on a controlled account, observes the issued token on DF7, and repeats the process to collect a series; from the series the generation scheme is inferred — sequential or time-derived values, or a weak generation scheme — and tokens issued to other users on DF5 are then computed and redeemed without any verification attempt.","An attacker with one or more controlled accounts harvests issued tokens, reconstructs the generation pattern, computes tokens currently issued to victim accounts directly from the pattern, and redeems them, defeating the identity verification chain without ever submitting a verification answer.","Mass unauthorised account takeover, because prediction defeats the identity verification chain entirely and requires no per-victim effort or information, unlike every other member of the recovery takeover family.","Token generation is an explicitly stated responsibility of P2, but nothing in the model constrains the entropy or unpredictability of the generated values, and DF5 persists them into DS2 where their format is stable; predictable recovery credentials are a recurring real-world failure class precisely because the generator is an internal detail that no drawn element polices. The threat follows from the gap between the stated responsibility, to generate tokens, and the unstated property, unpredictability.","Catalogue entry T-05, retained with a technology-neutral rewording of the predictability examples and conditional framing: the architecture states the generation responsibility but constrains neither entropy nor unpredictability, and the entry records that gap rather than claiming the generator is definitely weak. Retained separately from S3-RT-002, which also yields tokens without honest verification, because prediction attacks the generator itself, is fully untargeted, and is remedied by generation strength rather than verification strength or throttling, so a candidate model proposing only factor hardening is not credited with preventing prediction.",Critical,Low,No,Medium,YES
S3-RT-006,Cross-account token confusion through insufficient token-to-account binding,Spoofing,Session Management,DS2 Recovery Token Storage,"DF5, DF6 (token redemption path not represented in the model)",TB4,Recovery tokens; session/account recovery state,"The attacker completes legitimate recovery on a controlled account to obtain a genuinely valid token, then presents it in connection with a victim's account identifier on the redemption path that the model does not draw; if the token records in DS2 do not bind each token to the verified account, the validation information returned on DF6 is applied to the wrong account.","An attacker recovers their own account, receives a genuinely valid token, and presents it together with a victim's account identifier; the validation path applies the token to the victim's account, and the attacker completes recovery on an account they never verified, with the record showing a valid verification for the attacker throughout.","Unauthorised takeover of arbitrary accounts using the attacker's own legitimately issued token, with the recovery record showing a valid verification for the attacker throughout.","This threat is justified by an absence in the architecture rather than by a drawn element: the model shows generation on DF5, storage and validation on DF6, and delivery on DF7, but no flow depicts a token being redeemed to restore access, so the binding between a presented token and the target account is implicit and unpoliced. The stated property that tokens restore the verified user's access has no represented enforcement point, and DS2's specified contents — active tokens, metadata, expiration and consumption state — do not name account binding.","Catalogue entry T-06, retained with a STRIDE collapse: primary Spoofing, a legitimately issued token applied to the wrong account, with elevation of privilege noted as the consequence. Absence-justified: the redemption path and the binding property it presupposes are not drawn, and a reference model must test stated properties against drawn controls rather than accept them. Retained separately from S3-RT-004 and S3-RT-005 because the attacker neither reuses a victim's token nor predicts one: a flawlessly generated, single-use, expiring token for the attacker's own account suffices when binding is weak, so only account-binding mitigations address this entry.",High,Low,No,Medium,YES
S3-RT-007,Broken access control on profile updates through record-level reference manipulation,Elevation of Privilege,Authorization,P3 Profile Management Service,"DF8, DF9",TB3,Profile information; user account information,"An attacker with an update path for their own account submits profile update requests on DF8 that reference a record other than their own, through manipulated record identifiers in the request or parameter tampering; P3 fails to bind the requesting identity to the target record and persists the update to the victim's stored profile information on DF9.","An attacker submits a profile update request whose record reference points at a victim's record; the update validation at P3 does not bind the target record to the requester, DF9 persists the change to the victim's stored profile, and the modification stands in the victim's record while the attacker only ever used an ordinary update request.","Unauthorised modification of arbitrary users' profile data, and a staging step for full account takeover through S3-RT-013, where content planted in the victim's record executes in the victim's client context, and through S3-RT-008, where security-relevant fields are altered to arm a subsequent recovery.","The architecture states that P3 performs updates only after authorised recovery approval, which makes the validation logic at TB3 the single control point for record-level authorisation, exactly the configuration OWASP Top 10 A01 identifies as broken access control through insecure direct object references. TB3 is drawn because profile updates modify stored account information, and DF8 carries user-controlled request content across TB1 before reaching that validation.","Catalogue entry T-07, retained with a STRIDE collapse and an architecture-only rewrite: primary Elevation of Privilege, access to another subject's record, with tampering of the persisted record noted as the consequence; the original's direct-invocation phrasing was removed since no undrawn path is assumed. Retained separately from S3-RT-008, which attacks which fields may be written within a permitted record, because here the record selection itself is unauthorised, and a field-level allowlist does not repair an unverified record reference.",Critical,High,No,High,YES
S3-RT-008,Mass assignment of security-relevant fields through the profile update path,Elevation of Privilege,Authorization,P3 Profile Management Service; DS1 User Database,"DF8, DF9",TB3,Profile information; identity verification data; user account information,"The attacker includes security-relevant field names — recovery-linked and verification attributes among the architecture's stated data classes — inside an otherwise permitted profile update request on DF8; the field-level validation of P3 fails to reject them, and the values are persisted on DF9 into DS1, which stores account, profile and verification information without any modelled segregation.","An attacker submits an ordinary update on their own record that additionally carries verification-attribute and recovery-linked field names; the field validation does not reject them, DF9 persists the values, and the attacker then passes the legitimately altered verification factors through the ordinary recovery flow of S3-RT-001 and S3-RT-002 and receives a genuine token.","A takeover path through altered recovery-linked data: the attacker passes the legitimately altered verification factors through the ordinary recovery flow and receives a genuine token, and any write to security-relevant stored data beyond the profile domain that confers advantage inside the application stands persisted in DS1.","The architecture limits P3 to performing profile updates, which implies a field allowlist at P3, but the model shows no separation inside DS1 between the profile domain that DF9 may write and the verification domain that DF3 and DF4 read, so an allowlist failure crosses domains silently. OWASP guidance on mass assignment under Top 10 A01 and on data integrity failures under A08 covers exactly this request-shape attack.","Catalogue entry T-08, retained with a STRIDE collapse and an architecture-only rewrite: primary Elevation of Privilege; the original's role and permission examples were removed because the architecture specifies no such fields, and the entry is stated over the architecture's own data classes, recovery-linked and verification attributes held in DS1 without modelled segregation from the profile domain. Retained separately from S3-RT-007 because a correctly record-bound update of the attacker's own profile can still carry the attack when the field validation is the weakness, and separately from S3-RT-009 because here the write path itself is abused legitimately rather than through the access-scope layer.",Critical,Medium,No,Medium,YES
S3-RT-009,Privilege-separation gap in the Profile Management Service's access to the shared User Database,Elevation of Privilege,Authorization,P3 Profile Management Service; DS1 User Database,DF9,TB3,Identity verification data; recovery information; user account information,"The architecture draws TB2 and TB3 over one shared store, expressing intended separation between the recovery and profile domains, but specifies no separation or scoping of P3's access to DS1: if the access scope under which P3 operates spans the recovery domain as well as the profile domain — a condition the architecture neither establishes nor excludes — compromise of P3, or a flaw reachable through it such as the stored injection of S3-RT-012, reads and modifies verification and recovery information belonging to P2's domain.","An attacker who compromises P3 or finds a flaw reachable through it operates through the undifferentiated access scope against verification and recovery information belonging to the recovery domain of P2, reading and modifying data the profile service never legitimately required.","Cross-domain disclosure and tampering: a profile-side compromise escalates into identity verification data theft and recovery information manipulation, collapsing the separation between the profile and recovery trust domains that the two boundaries TB2 and TB3 are drawn to express.","DS1 is shared by P2 across TB2 and P3 across TB3, and the architecture's decision to draw two separate boundaries over one store is an explicit statement of intended domain separation; the access scoping that must realise it is nowhere documented in the model, which is recorded as an architecture-level control gap rather than a claim about the implemented scope.","Catalogue entry T-09, retained and reframed as an architecture-level privilege-separation gap: the entry makes no claim that P3's access is definitely over-broad, since the implemented scope is unknowable from the supplied architecture; it records that nothing in the supplied architecture separates or limits P3's access to the shared store, so a profile-side compromise can escalate across the boundary the design intends. The original's credential-layer wording was generalised to access scope per the architecture-only scope. Retained separately from S3-RT-008, which abuses the legitimate write path of DF9 through request-shape manipulation, because here the write path is bypassed entirely through the access-scope layer, so field allowlists and request validation are irrelevant mitigations.",High,Medium,No,High,YES
S3-RT-010,Unauthenticated access to account-related information through the assistant path,Elevation of Privilege,Authorization,P4 AI Account Support Assistant,DF10,TB1,User AI questions; context information sent to the LLM; generated AI responses,"The assistant path crosses TB1 on DF10 with no identity binding drawn — the stated limitation that the assistant cannot authenticate users means no identity check exists on this path — so an unauthenticated caller receives the assistant's account-related responses and whatever context the pipeline attaches: account-related information is delivered without entitlement, and the external LLM chain is consumed without attribution, seeding S3-RT-033.","An unauthenticated attacker questions the assistant about account handling and recovery procedures; the pipeline assembles account-related context and returns account-related answers to a party bound to no identity, and systematic questioning yields reconnaissance material that sharpens the targeted recovery attacks S3-RT-001 and S3-RT-002.","Unauthorised access to account-related information through the assistant path, reconnaissance material for the recovery attacks S3-RT-001 and S3-RT-002, and an unattributed entry point for the external LLM chain's consumption abuse through S3-RT-033; in a recovery context the assistant can additionally serve as a social engineering amplifier through S3-RT-026.","The stated limitation that the assistant cannot authenticate users, combined with DF10 being drawn directly from the End User across TB1, means the assistant path carries no identity binding anywhere in the model; the assistant's stated purpose — answering account questions with approved context — makes the path account-information-bearing, so its unbound reachability is an unauthorised-access path rather than a benign property. The compensating constraints — no token generation, no account modification, no authorisation decisions — bound the direct technical impact, which is why severity is High and not Critical.","Catalogue entry T-10, retained with a STRIDE collapse and reframed in this freeze audit around its concrete consequence path: the entry is not the bare fact that the assistant can be queried without authentication — it is the unauthorised delivery of account-related information and the unattributed consumption of the external chain that the unbound path delivers, which make it independently evaluable against a generated threat. Distinct from S3-RT-023, which is mis-scoped or over-inclusive context assembly between users: here no identity binding exists on the entry path at all. Primary Elevation of Privilege: a protected capability is used without entitlement, with the reconnaissance disclosure noted as secondary. Not AI-specific: classical access-control analysis of an entry point. This entry is the unauthenticated entry point leveraged by S3-RT-033.",High,High,No,High,YES
