Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
16,EE1 End User (Browser) Process Memory Tampered,Tampering,Diagram 1,Registration/Login Credentials,High,Not Started,,"If EE1 End User (Browser) is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then EE1 End User (Browser) can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1,Cross Site Scripting,Tampering,Diagram 1,Registration/Login Credentials,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
2,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Registration/Login Credentials,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of EE1 End User (Browser) in order to gain additional privilege.,,Generated
3,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,Credential Submission,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Authentication Server executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with P2 Authentication Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
4,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Credential Submission,High,Not Started,,P2 Authentication Server may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
5,Spoofing of Destination Data Store DS1 Backend User Database,Spoofing,Diagram 1,Credential Verification Request,High,Not Started,,DS1 Backend User Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Backend User Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
6,Potential SQL Injection Vulnerability for DS1 Backend User Database,Tampering,Diagram 1,Credential Verification Request,High,Not Started,,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,,Generated
7,Potential Excessive Resource Consumption for P2 Authentication Server or DS1 Backend User Database,Denial Of Service,Diagram 1,Credential Verification Request,High,Not Started,,"Does P2 Authentication Server or DS1 Backend User Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
8,P2 Authentication Server Process Memory Tampered,Tampering,Diagram 1,Session Token Generation,High,Not Started,,"If P2 Authentication Server is given access to memory, such as shared memory or pointers, or is given the ability to control what P3 Session Management Module executes (for example, passing back a function pointer.), then P2 Authentication Server can tamper with P3 Session Management Module. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
9,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Session Token Generation,High,Not Started,,P3 Session Management Module may be able to impersonate the context of P2 Authentication Server in order to gain additional privilege.,,Generated
