Threat ID,Threat Name,Threat Source,Affected Component,Affected Asset,Affected Data Flow,Affected Trust Boundary,Attack Vector or Exploitation Path,Security Impact,Evidence / Reasoning,AI/LLM Specific,STRIDE Category,Severity,Primary Category
S3-T-01,Account recovery bypass through unenforced verification sequencing,Architecture-specific analysis,P2 Account Recovery Service,Recovery tokens; user account information; identity verification data,"DF2, DF3, DF4, DF5",TB1; TB2; TB4,"The attacker submits a recovery request on DF2 crafted so that P2 proceeds to token generation on DF5 without a successful verification result having been returned on DF4, for example by exploiting error handling that continues on verification failure, by manipulating a state parameter that records verification as already complete, or by invoking the token-generation step of P2 as a separately reachable operation.","A valid recovery token is generated and returned on DF7 for an account the attacker does not control, producing complete account takeover without any identity check having succeeded.","The architecture depicts verification as the exchange DF3 and DF4 between P2 and DS1 across TB2, and token generation as DF5 from P2 to DS2 across TB4, but contains no element that enforces the ordering or the dependency between them. Nothing in the model requires that a successful result on DF4 precede the write on DF5. Because the request that initiates the sequence arrives from the untrusted side of TB1 on DF2, an ordering assumption that exists only as an implementation convention inside P2 is attacker-testable. This is the highest-impact single finding in the recovery path and is derived from reading this specific diagram rather than from a checklist.",No,Elevation of Privilege,Critical,Account Recovery Security
S3-T-02,Weak identity verification permitting impersonation during recovery,OWASP Application Security,P2 Account Recovery Service; DS1 User Database,Identity verification data; user account information; recovery tokens,"DF2, DF3, DF4",TB1; TB2,"The attacker supplies verification material that is guessable, publicly discoverable or obtainable from unrelated breaches, such as knowledge-based answers, date of birth or address details, and P2 accepts the DF4 result as sufficient proof of identity.","Recovery succeeds for an attacker impersonating the legitimate account holder, and a recovery token is issued on DF7 to a party who never held the account.","Identity verification is a stated responsibility of P2, and the verification data against which claims are checked is held in DS1 and consulted across TB2 on DF3 and DF4. The strength of that check is the only barrier between an untrusted request arriving on DF2 across TB1 and the issuance of a recovery token. The architecture specifies that verification occurs but not that it is resistant to an attacker who has researched the victim, so the strength of the verification factor is a design property that must be modelled explicitly. Distinct from S3-T-01 in that the check is performed and completed, but is too weak to distinguish the attacker from the account holder.",No,Spoofing,Critical,Account Recovery Security
S3-T-03,Recovery token prediction due to insufficient entropy,STRIDE-derived,P2 Account Recovery Service,Recovery tokens; user account information,"DF5, DF7",TB1; TB4,"Tokens generated by P2 are derived from timestamps, sequential counters, account identifiers or a non-cryptographic generator, so the attacker collects samples issued to their own account on DF7 and computes or searches the values issued to other users.","Account takeover at scale without interacting with the verification path at all, and therefore without producing any failed-verification signal that monitoring of DF3 and DF4 could detect.","Recovery token generation is an explicitly stated responsibility of P2, which makes token entropy a property of a named process in this architecture rather than a generic concern. Tokens are written to DS2 across TB4 on DF5 and delivered to the user across TB1 on DF7, and it is that delivery which gives an attacker the samples needed to infer the generator. Because a recovery token confers account access, its unpredictability requirement is equivalent to that of a credential.",No,Spoofing,Critical,Account Recovery Security
S3-T-04,Recovery token theft in transit or from the user environment,STRIDE-derived,P1 Web Frontend Interface; P2 Account Recovery Service,Recovery tokens; user account information,DF7,TB1,"The attacker observes the token as it crosses TB1 on DF7 where transport protection is absent or downgraded, captures it from a URL, browser history, referrer header or log, or obtains it from a delivery channel the user does not exclusively control.","Possession of the token grants the account access the recovery process was designed to protect, without the attacker having satisfied any verification requirement.","DF7 is the only flow that carries the recovery token from the application environment across TB1 into the untrusted user environment, which makes it the single exposure point for a bearer credential that P2 has just issued. The token's value is identical to that of the account it recovers, so the protection requirement on DF7 is equivalent to that of a credential in transit. Distinct from S3-T-03 in that the token is correctly generated and is captured rather than computed.",No,Information Disclosure,High,Account Recovery Security
S3-T-05,Recovery token replay due to absent single-use enforcement,Architecture-specific analysis,P2 Account Recovery Service; DS2 Recovery Token Storage,Recovery tokens; session and account recovery state,"DF5, DF6",TB4,"A token that has already been used to recover an account remains valid in DS2, so an attacker who captured it under S3-T-04, or who recovers it from a shared device or log, submits it again and obtains account access a second time.","Repeated account takeover from a single captured token, and persistence of attacker access after the legitimate user believes recovery is complete.","This threat is justified by an absence in the architecture rather than by a drawn element. DS2 is stated to hold active tokens and token status information, and DF6 returns validation information to P2, but the model contains no flow by which P2 marks a token consumed or removes it from DS2 after use. Because no element is responsible for state transition on TB4, single-use enforcement is unrepresented and token reuse is possible by construction.",No,Spoofing,High,Account Recovery Security
S3-T-06,Unbounded recovery token lifetime due to missing expiry and invalidation,Architecture-specific analysis,DS2 Recovery Token Storage; P2 Account Recovery Service,Recovery tokens; session and account recovery state,"DF5, DF6",TB4,"Tokens written to DS2 on DF5 carry no expiry, or expiry is not evaluated when validation information is returned on DF6, so a token issued long previously and never used remains redeemable indefinitely. Tokens are also not invalidated when the user regains access by other means or when a subsequent recovery request supersedes an earlier one.","Historic tokens accumulate as a durable population of valid account-access credentials, so a single past disclosure remains exploitable indefinitely and superseded requests leave live tokens behind.","DS2 is stated to hold token status information, which implies a lifecycle, but the architecture depicts only creation on DF5 and validation on DF6 across TB4, with no expiry evaluation and no invalidation path. Distinct from S3-T-05, which concerns reuse of a token that has been redeemed once; this threat concerns tokens that are never redeemed yet never cease to be valid, and the two require different controls, namely consumption marking versus time-bounded validity.",No,Elevation of Privilege,High,Account Recovery Security
S3-T-07,Manipulation of the recovery outcome carried on the combined result flow,Architecture-specific analysis,P2 Account Recovery Service; P1 Web Frontend Interface,Recovery tokens; session and account recovery state,DF7,TB1,"Because DF7 conveys either a recovery result or a recovery token depending on outcome, the attacker manipulates the response handling so that a denial is treated as a success, or induces P2 or P1 to emit token material on a path where only a negative result should have been returned, for example through error-branch confusion or response-shape ambiguity.","A failed recovery attempt yields usable token material or is presented to the client as successful, converting an unsuccessful attack into account access.","DF7 is architecturally unusual because a single flow carries two semantically different payloads across TB1: a decision, which is low-value, and a token, which is credential-equivalent. That polymorphism means the distinction between failure and success is a property of the response content rather than of the flow itself, so any ambiguity in how P1 interprets what P2 returned becomes a security decision made on the untrusted side of the boundary. This threat is specific to the way the architecture combines the two payloads on one flow.",No,Tampering,High,Account Recovery Security
S3-T-08,Account enumeration through differential recovery responses,OWASP Application Security,P2 Account Recovery Service; P1 Web Frontend Interface,User account information; identity verification data,"DF2, DF4, DF7",TB1; TB2,"The attacker submits recovery requests for candidate identifiers on DF2 and distinguishes existing from non-existing accounts by comparing response content, status codes or timing observed on DF7, and further distinguishes which verification factors are configured for each account.","Produces a validated target list that raises the yield of S3-T-02 and S3-T-11, and discloses which accounts exist together with the shape of their verification requirements.","The lookup outcome produced by DS1 on DF4 across TB2 becomes externally observable because its consequence is reflected back across TB1 on DF7. Recovery interfaces are especially prone to this because a usable recovery flow must tell the requester something about what to do next, which creates a direct tension between usability and non-disclosure that the architecture does not resolve.",No,Information Disclosure,Medium,Account Recovery Security
S3-T-09,Recovery token issued to an attacker-controlled destination,OWASP Application Security,P2 Account Recovery Service,Recovery tokens; recovery information,"DF2, DF7",TB1,"The attacker supplies or influences the destination to which the recovery outcome is directed, for example by injecting a contact address or a redirect target into the recovery request on DF2, so that the token returned on DF7 reaches the attacker rather than the account holder.","A correctly generated token issued after a correctly performed verification is delivered to the wrong party, defeating the recovery control without any weakness in verification or token generation.","The recovery request arriving at P2 on DF2 originates from the untrusted side of TB1, so any destination information it carries is attacker-controlled unless P2 derives the destination solely from the verified account record obtained on DF4 across TB2. The architecture states that the token is provided to the user but does not specify that the delivery target is derived from stored data rather than from the request, which makes this a genuine design question rather than an assumed control.",No,Spoofing,High,Account Recovery Security
S3-T-10,Injection into the identity verification query,STRIDE-derived,P2 Account Recovery Service; DS1 User Database,Identity verification data; user account information,"DF2, DF3, DF4",TB1; TB2,"Attacker-supplied values from the recovery request on DF2 are incorporated into the verification request issued on DF3 in a way that alters the meaning of that request, producing an affirmative result on DF4 or extracting verification material for arbitrary accounts.","Verification bypass for any chosen account, and disclosure of the identity verification data that protects every account in the platform.","DF3 is the flow on which untrusted input that crossed TB1 is transformed into a request interpreted by DS1 across TB2. Because DS1 is the authority for identity verification in this architecture, a query-manipulation defect at this crossing does not merely disclose data but subverts the control that TB2 exists to protect, and it does so without needing any weakness in the verification factors themselves.",No,Tampering,Critical,Account Recovery Security
