Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
86,EE1 Registered User (Browser) Process Memory Tampered,Tampering,Diagram 1,Password reset request,High,Not Started,,"If EE1 Registered User (Browser) is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then EE1 Registered User (Browser) can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
1,Cross Site Scripting,Tampering,Diagram 1,Password reset request,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
2,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Password reset request,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of EE1 Registered User (Browser) in order to gain additional privilege.,,Generated
3,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,forwarded password reset request,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Account Management Service executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with P2 Account Management Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
4,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,forwarded password reset request,High,Not Started,,P2 Account Management Service may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
5,Spoofing of Destination Data Store DS1 Backend User Database,Spoofing,Diagram 1,user account verification query,High,Not Started,,DS1 Backend User Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Backend User Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
6,Potential Excessive Resource Consumption for P2 Account Management Service or DS1 Backend User Database,Denial Of Service,Diagram 1,user account verification query,High,Not Started,,"Does P2 Account Management Service or DS1 Backend User Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
7,P2 Account Management Service Process Memory Tampered,Tampering,Diagram 1,token generation request,High,Not Started,,"If P2 Account Management Service is given access to memory, such as shared memory or pointers, or is given the ability to control what P3 Password Reset Token Module executes (for example, passing back a function pointer.), then P2 Account Management Service can tamper with P3 Password Reset Token Module. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
8,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,token generation request,High,Not Started,,P3 Password Reset Token Module may be able to impersonate the context of P2 Account Management Service in order to gain additional privilege.,,Generated
9,Spoofing the External communication channel External Entity,Spoofing,Diagram 1,password reset token,High,Not Started,,External communication channel may be spoofed by an attacker and this may lead to unauthorized access to EE1 Registered User (Browser). Consider using a standard authentication mechanism to identify the external entity.,,Generated
10,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,password reset token,High,Not Started,,EE1 Registered User (Browser) may be able to impersonate the context of External communication channel in order to gain additional privilege.,,Generated
11,EE1 Registered User (Browser) Process Memory Tampered,Tampering,Diagram 1,reset token and new password,High,Not Started,,"If EE1 Registered User (Browser) is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then EE1 Registered User (Browser) can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
12,Cross Site Scripting,Tampering,Diagram 1,reset token and new password,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
13,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,reset token and new password,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of EE1 Registered User (Browser) in order to gain additional privilege.,,Generated
14,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,forwarded reset token and new password,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Account Management Service executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with P2 Account Management Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,forwarded reset token and new password,High,Not Started,,P2 Account Management Service may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
18,EE1 Registered User (Browser) Process Memory Tampered,Tampering,Diagram 1,authenticated api request,High,Not Started,,"If EE1 Registered User (Browser) is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then EE1 Registered User (Browser) can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
19,Cross Site Scripting,Tampering,Diagram 1,authenticated api request,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
20,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,authenticated api request,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of EE1 Registered User (Browser) in order to gain additional privilege.,,Generated
21,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,forwarded authenticated API request,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what P4 User Profile API Handler executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with P4 User Profile API Handler. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
22,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,forwarded authenticated API request,High,Not Started,,P4 User Profile API Handler may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
23,Spoofing of Destination Data Store DS1 Backend User Database,Spoofing,Diagram 1,profile data query or update,High,Not Started,,DS1 Backend User Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Backend User Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
24,Potential Excessive Resource Consumption for P4 User Profile API Handler or DS1 Backend User Database,Denial Of Service,Diagram 1,profile data query or update,High,Not Started,,"Does P4 User Profile API Handler or DS1 Backend User Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
25,Spoofing of Source Data Store DS1 Backend User Database,Spoofing,Diagram 1,profile data response,High,Not Started,,DS1 Backend User Database may be spoofed by an attacker and this may lead to incorrect data delivered to P4 User Profile API Handler. Consider using a standard authentication mechanism to identify the source data store.,,Generated
26,Weak Access Control for a Resource,Information Disclosure,Diagram 1,profile data response,High,Not Started,,Improper data protection of DS1 Backend User Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
27,P4 User Profile API Handler Process Memory Tampered,Tampering,Diagram 1,api response,High,Not Started,,"If P4 User Profile API Handler is given access to memory, such as shared memory or pointers, or is given the ability to control what P1 Web Frontend Interface executes (for example, passing back a function pointer.), then P4 User Profile API Handler can tamper with P1 Web Frontend Interface. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
28,Cross Site Scripting,Tampering,Diagram 1,api response,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
29,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,api response,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of P4 User Profile API Handler in order to gain additional privilege.,,Generated
