id,element,threat_description,element_type,stride,owasp_top_10_2025,mitre_attack,owasp_top_10_for_llm,mitre_atlas,linddun,owasp_ml_sec_top_10_2023,mitigation,SDL_stage,cvss_vector,cvss_score,threat_source,validation,justification,mitigated
1,External Entity,Spoofing of External Entity,External Entities,SPOOFING,LLM01: 2025 Prompt Injection,T1595.002 - Use Publicly Available Information to Inform Activity (TA0013),,AML.T0000: Search for Victim's Publicly Available Research Materials,,,Implement proper authentication and authorization mechanisms to prevent spoofing attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
2,Process,Spoofing of Process,Processes,SPOOFING,LLM01: 2025 Prompt Injection,T1595.002 - Use Publicly Available Information to Inform Activity (TA0013),,AML.T0000: Search for Victim's Publicly Available Research Materials,,,Implement proper authentication and authorization mechanisms to prevent spoofing attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
1,External Entity,Spoofing of External Entity,External Entities,SPOOFING,LLM01: 2025 Prompt Injection,T1595.002 - Use Publicly Available Information to Inform Activity (TA0013),,AML.T0000: Search for Victim's Publicly Available Research Materials,,,Implement proper authentication and authorization mechanisms to prevent spoofing attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
2,Data Store,Tampering of Data Store,Data Stores,TAMPERING,LLM02: 2025 Sensitive Information Disclosure,T1040 - Network Sniffing (TA0015),,AML.T0007: Discover ML Artifacts,,,Implement proper access controls and encryption mechanisms to prevent tampering attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
1,External Entity,Spoofing of External Entity,External Entities,SPOOFING,LLM01: 2025 Prompt Injection,T1595.002 - Use Publicly Available Information to Inform Activity (TA0013),,AML.T0000: Search for Victim's Publicly Available Research Materials,,,Implement proper authentication and authorization mechanisms to prevent spoofing attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
2,Data Store,Tampering of Data Store,Data Stores,TAMPERING,LLM02: 2025 Sensitive Information Disclosure,T1040 - Network Sniffing (TA0015),,AML.T0007: Discover ML Artifacts,,,Implement proper access controls and encryption mechanisms to prevent tampering attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
3,Process,Spoofing of Process,Processes,SPOOFING,LLM01: 2025 Prompt Injection,T1595.002 - Use Publicly Available Information to Inform Activity (TA0013),,AML.T0000: Search for Victim's Publicly Available Research Materials,,,Implement proper authentication and authorization mechanisms to prevent spoofing attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
4,Process,Tampering of Process,Processes,TAMPERING,LLM02: 2025 Sensitive Information Disclosure,T1040 - Network Sniffing (TA0015),,AML.T0007: Discover ML Artifacts,,,Implement proper access controls and encryption mechanisms to prevent tampering attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
5,Process,Repudiation of Process,Processes,REPUDIATION,LLM03: 2025 Security Misconfiguration,T1056 - Input Capture (TA0014),,AML.T0001: Execute Code,,,Implement proper logging and auditing mechanisms to prevent repudiation attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
6,Process,Information Disclosure of Process,Processes,INFORMATION DISCLOSURE,LLM04: 2025 Cross-Site Scripting (XSS),T1031 - Application Window Discovery (TA0012),,AML.T0003: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent information disclosure attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
7,Process,Denial of Service (DoS) of Process,Processes,DENIAL OF SERVICE,LLM05: 2025 Security Misconfiguration,T1490 - Resource Hijacking (TA0018),,AML.T0002: Execute Code,,,Implement proper resource management mechanisms to prevent DoS attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
8,Process,Elevation of Privileges (EoP) of Process,Processes,EL ELEVATION OF PRIVILEGES,LLM06: 2025 Security Misconfiguration,T1055 - Web Service Abuse (TA0016),,AML.T0004: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent EoP attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
9,Process,Information Disclosure of Process through Network Sniffing,Processes,INFORMATION DISCLOSURE,LLM07: 2025 Cross-Site Scripting (XSS),T1040 - Network Sniffing (TA0015),,AML.T0005: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent information disclosure attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
10,Process,Denial of Service (DoS) of Process through Network Sniffing,Processes,DENIAL OF SERVICE,LLM08: 2025 Security Misconfiguration,T1490 - Resource Hijacking (TA0018),,AML.T0006: Search for Sensitive Data,,,Implement proper resource management mechanisms to prevent DoS attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
11,Process,Elevation of Privileges (EoP) of Process through Network Sniffing,Processes,EL ELEVATION OF PRIVILEGES,LLM09: 2025 Security Misconfiguration,T1055 - Web Service Abuse (TA0016),,AML.T0007: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent EoP attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
12,Process,Repudiation of Process through Network Sniffing,Processes,REPUDIATION,LLM10: 2025 Security Misconfiguration,T1056 - Input Capture (TA0014),,AML.T0008: Search for Sensitive Data,,,Implement proper logging and auditing mechanisms to prevent repudiation attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
13,Process,Information Disclosure of Process through Cross-Site Scripting (XSS),Processes,INFORMATION DISCLOSURE,LLM11: 2025 Security Misconfiguration,T1031 - Application Window Discovery (TA0012),,AML.T0009: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent information disclosure attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
14,Process,Denial of Service (DoS) of Process through Cross-Site Scripting (XSS),Processes,DENIAL OF SERVICE,LLM12: 2025 Security Misconfiguration,T1490 - Resource Hijacking (TA0018),,AML.T0010: Search for Sensitive Data,,,Implement proper resource management mechanisms to prevent DoS attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
15,Process,Elevation of Privileges (EoP) of Process through Cross-Site Scripting (XSS),Processes,EL ELEVATION OF PRIVILEGES,LLM13: 2025 Security Misconfiguration,T1055 - Web Service Abuse (TA0016),,AML.T0011: Search for Sensitive Data,,,Implement proper access controls and encryption mechanisms to prevent EoP attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
16,Process,Repudiation of Process through Cross-Site Scripting (XSS),Processes,REPUDIATION,LLM14: 2025 Security Misconfiguration,T1056 - Input Capture (TA0014),,AML.T0012: Search for Sensitive Data,,,Implement proper logging and auditing mechanisms to prevent repudiation attacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,10,llm,true,,false
