Threat ID,Threat Name,Threat Source,Affected Component,Affected Asset,Affected Data Flow,Affected Trust Boundary,Attack Vector or Exploitation Path,Security Impact,Evidence / Reasoning,AI/LLM Specific,STRIDE Category,Severity,Primary Category
S2-T-01,Malicious file upload leading to server-side code execution,Architecture-specific analysis,P2 File Management Service; DS1 Server Storage Repository,Uploaded files; document contents; application environment integrity,"DF1, DF2, DF3",TB1; TB2,"An authenticated user uploads a file containing server-interpretable code through DF1 and DF2. P2 accepts it during validation and writes it to DS1 on DF3. Where any stored object is reachable by an interpreter in the hosting environment, the attacker triggers execution by requesting the stored path.","Arbitrary code execution in the application environment, full compromise of every document held in DS1, and control of the process that performs all authorization checks.","P2 is the only element performing validation, and DF2 carries attacker-authored file content across TB1 from the untrusted user environment into the application environment. DF3 then carries that content across TB2 into DS1. Because TB2 is defined as the point at which application logic accesses sensitive documents, content that becomes executable after crossing it defeats every control located in P2.",No,Elevation of Privilege,Critical,File Upload Security
S2-T-02,File type validation bypass through declared-property manipulation,OWASP Application Security,P2 File Management Service,Uploaded files,DF2,TB1,"The attacker manipulates the declared content type, uses a double extension, prepends permitted magic bytes to a disallowed payload, or exploits case handling and null bytes in the filename so that validation in P2 classifies a prohibited file as permitted.","Prohibited file types enter DS1, which is the precondition for S2-T-01 and S2-T-03.","File validation is a stated responsibility of P2 and is the only control applied to the DF2 crossing of TB1. Every property the validation inspects originates on the untrusted side of TB1, so validation based on declared rather than inspected characteristics is attacker-controlled. The affected asset is the uploaded file before it is committed to DS1 on DF3.",No,Tampering,High,File Upload Security
S2-T-03,Malware upload and distribution to other platform users,OWASP Application Security,DS1 Server Storage Repository; P2 File Management Service,Uploaded files; user endpoints,"DF2, DF3, DF9, DF10",TB1; TB2,"The attacker uploads a file carrying a payload that is harmless to the server but hostile to a client endpoint. It passes validation in P2, is stored in DS1 via DF3, and is later retrieved by another user through DF8, DF9 and DF10 and opened on that user's device.","Compromise of other users' endpoints, with the platform acting as a trusted distribution channel for attacker content.","Distinct from S2-T-01 in that the payload executes on the retrieving client rather than in the application environment, so the harm occurs after content crosses TB1 outbound on DF10 rather than after it crosses TB2 inbound on DF3. DS1 stores content that originated on the untrusted side of TB1, and no element in the architecture is described as inspecting stored content for hostile payloads.",No,Tampering,High,File Upload Security
S2-T-04,Path traversal during the storage write operation,OWASP Application Security,P2 File Management Service; DS1 Server Storage Repository,Uploaded files; file metadata,"DF2, DF3",TB1; TB2,"The attacker supplies a filename containing traversal sequences or absolute path components in the upload metadata on DF2. P2 incorporates the supplied name when constructing the storage location used on DF3, causing the object to be written outside the intended location or over an existing object.","Placement of attacker-chosen content at an attacker-chosen location, and destruction of existing stored objects belonging to other users.","DF2 delivers both the file and its metadata across TB1, and DF3 carries the resulting write across TB2 into DS1. P2 is stated to manage metadata, so the filename it receives from the untrusted side of TB1 participates in constructing the destination. A write-path defect at the TB2 crossing directly contradicts the stated purpose of that boundary.",No,Tampering,High,File Upload Security
S2-T-05,Overwriting another user's stored file through identifier collision,Architecture-specific analysis,P2 File Management Service; DS1 Server Storage Repository,Uploaded files; document contents,"DF2, DF3",TB1; TB2,The attacker uploads a file whose target storage identifier or name collides with an object owned by another user. P2 performs the write on DF3 without confirming that the destination is unoccupied or that the uploader owns it.,"Silent replacement of a victim's document with attacker content, which the victim subsequently retrieves through DF9 and DF10 believing it authentic.","The architecture places authorization checks in P2 and describes them in the context of file access, and DF6 and DF7 to DS2 appear only on the retrieval path. No authorization consultation is depicted on the upload path DF2 to DF3 across TB2, so ownership of the destination is not established before the write occurs.",No,Tampering,High,File Upload Security
S2-T-06,Resource exhaustion in file validation through crafted content,OWASP Application Security,P2 File Management Service,File processing availability,DF2,TB1,"The attacker uploads a single file engineered to consume disproportionate processing resources during inspection, such as a highly compressed archive that expands enormously, a deeply nested document structure, or content that triggers pathological parsing behaviour in P2.","Exhaustion of processing capacity in P2 from a small number of requests, denying upload and retrieval service to all users because P2 is the single element serving both paths.","Validation is performed inside P2 on content that arrives across TB1 on DF2, so the cost of validation is determined by attacker-supplied input. This is distinct from volumetric flooding because the asymmetry arises from the content of one file rather than from request count, and it is consumed before any write crosses TB2 on DF3.",No,Denial of Service,Medium,File Upload Security
S2-T-07,Storage exhaustion through unbounded upload volume,STRIDE-derived,P2 File Management Service; DS1 Server Storage Repository,Storage capacity; availability of stored files,"DF2, DF3",TB1; TB2,"The attacker repeatedly uploads large files or a high volume of files through DF1 and DF2, each accepted upload consuming capacity in DS1 through DF3 until storage is exhausted.","Loss of upload availability for all users, and potential loss of retrieval availability where storage exhaustion degrades DS1 itself.","DF2 crosses TB1 with no stated size or quota constraint, and every accepted upload is committed across TB2 to DS1 on DF3. The asset is the finite capacity of DS1, which is shared by all users, so one account can deny service to the whole population. Distinct from S2-T-06 in that the consumed resource is storage rather than processing.",No,Denial of Service,Medium,File Upload Security
S2-T-08,Time-of-check to time-of-use gap between validation and storage,Architecture-specific analysis,P2 File Management Service,Uploaded files; integrity of the validation decision,"DF2, DF3",TB1; TB2,"The attacker exploits the interval between the validation decision made inside P2 and the write performed on DF3, so that the bytes committed to DS1 differ from the bytes that were inspected.","Unvalidated content reaches DS1 while being recorded as validated, defeating the only content control in the architecture and re-enabling S2-T-01 and S2-T-03.","The architecture separates validation, performed within P2, from the storage write that crosses TB2 on DF3, and describes DF3 as carrying a validated file storage request. Because these are two distinct operations on input that arrived across TB1, the validation verdict and the stored artefact are not guaranteed to describe the same content.",No,Tampering,Medium,File Upload Security
S2-T-09,Metadata tampering to assign attacker-chosen ownership or permissions,Architecture-specific analysis,P2 File Management Service; DS1 Server Storage Repository; DS2 User/Permission Database,File metadata; file ownership; access permissions,"DF2, DF3",TB1; TB2; TB3,"The attacker manipulates metadata fields carried alongside the file on DF2, such as owner identity, visibility or permission attributes, so that the ownership and permission records established for the object reflect attacker-chosen values rather than values derived from the authenticated session.","Objects are registered with access properties the attacker selects, allowing later retrieval of content by unauthorized parties or attribution of attacker content to another identity.","DF2 explicitly carries uploaded file and metadata across TB1, and metadata management is a stated responsibility of P2. DS2 holds file ownership and access permissions, which are the records that the retrieval-time check on DF6 and DF7 evaluates across TB3. If the values written at upload originate from the untrusted side of TB1 rather than being derived internally, the authorization decision at TB3 is computed from attacker-supplied data.",No,Tampering,High,File Upload Security
S2-T-10,Unauthorized access to backend file management functionality,OWASP Application Security,P2 File Management Service; P1 Web Frontend Interface,Uploaded files; access permissions,"DF2, DF5",TB1,"The attacker attempts to reach the file upload and file access operations of P2 without passing through the restrictions applied by P1, for example by replaying or reconstructing the requests that P1 issues on DF2 and DF5, or by omitting or forging the request properties that P1 normally supplies.","Any size, type or contextual restriction implemented only in P1 ceases to constrain what reaches P2, exposing the upload path on DF2 and the access path on DF5 in unfiltered form.","If backend functionality is exposed without proper authentication and authorization enforcement, attackers may attempt to bypass intended frontend restrictions and interact with protected file operations. DF2 and DF5 are the only inputs to P2 and both are shown as originating from P1, which sits immediately inside TB1 and is itself driven by untrusted input arriving on DF1 and DF4. The architecture does not state whether P2 is reachable other than through P1, so the threat is expressed as a requirement that P2 enforce its own authentication and authorization on DF2 and DF5 rather than as an assertion that P2 is externally exposed. The affected assets are uploaded files and access permissions.",No,Elevation of Privilege,High,File Upload Security
