id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
1,EE1: End User,External Entity,Spoofing,A malicious actor impersonates a legitimate user by submitting stolen credentials or spoofing identity during registration/login.,"Enforce Multi-Factor Authentication (MFA), robust password complexity policies, and CAPTCHA / anomaly detection on login/registration endpoints.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
2,EE1: End User,External Entity,Repudiation,"An end user maliciously denies performing security-critical actions (e.g., account registration, login attempts, or submitting malicious chatbot prompts).","Maintain immutable audit logs recording timestamps, client IP addresses, device fingerprints, and digital signatures for critical user events.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
3,EE2: External LLM Provider,External Entity,Spoofing,"An attacker or compromised DNS/routing spoofs the External LLM Provider endpoint, serving spoofed AI responses to the application.","Enforce strict TLS certificate validation, certificate pinning, and mutual TLS / authenticated API endpoints with dedicated API key verification.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,7.4
4,EE2: External LLM Provider,External Entity,Repudiation,"The third-party LLM provider denies having returned a malicious, hallucinated, or biased response that resulted in downstream application compromise.",Log and cryptographically hash all outbound prompt payloads and incoming raw provider responses with server-side timestamps for audit verification.,Verification,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.7
5,P1: Web Frontend Interface,Process,Spoofing,Attacker deploys a phishing clone or performs UI redressing/clickjacking to masquerade as the authentic Web Frontend Interface.,"Configure Content Security Policy (CSP), X-Frame-Options: DENY, HSTS headers, and educate users on verifying domain certificates.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
6,P1: Web Frontend Interface,Process,Tampering,"Cross-Site Scripting (XSS) or client-side script tampering alters displayed authentication results, session tokens, or chatbot responses.","Enforce strict output encoding, contextual HTML escaping, robust CSP, and use modern framework auto-escaping mechanisms.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
7,P1: Web Frontend Interface,Process,Repudiation,"Web frontend fails to log client-side errors, transaction submissions, or session initiation attempts, preventing client-side forensic investigations.",Implement client telemetry and forward tamper-resistant interaction logs to a centralized server-side monitoring pipeline.,Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
8,P1: Web Frontend Interface,Process,Information Disclosure,"Web frontend leaks sensitive user credentials, session tokens, or internal API structures via browser local storage, query params, or verbose console logs.","Store session tokens only in HttpOnly, Secure, SameSite cookies; disable client logging of sensitive fields in production builds.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,6.5
9,P1: Web Frontend Interface,Process,Denial of Service,Client-side resource exhaustion (e.g. ReDoS in client validation regex or heavy DOM rendering loops) freezes the user interface.,Avoid complex regular expressions on client input; offload heavy processing to Web Workers; implement client-side timeout guards.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
10,P1: Web Frontend Interface,Process,Elevation of Privilege,Attacker bypasses client-side route guards or disabled UI buttons to access protected views without valid authentication.,Ensure all authorization and access control logic is strictly enforced on the backend server rather than relying on frontend UI state.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
11,P2: Authentication Service,Process,Spoofing,"Attacker executes automated credential stuffing, password spraying, or brute-force attacks against the authentication service.","Enforce adaptive rate limiting, account lockout policies, CAPTCHA on consecutive failures, and breached password detection.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
12,P2: Authentication Service,Process,Tampering,Tampering with authentication state variables or SQL/NoSQL injection in credential validation routines alters authentication outcomes.,Use parameterized queries / ORM exclusively; isolate authentication decision logic; validate all inputs against strict schemas.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
13,P2: Authentication Service,Process,Repudiation,"Authentication Service does not generate immutable audit logs for successful logins, failed attempts, and password reset requests.","Implement comprehensive security event logging to a write-once, append-only SIEM with automated alerting on anomalous login bursts.",Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,7.5
14,P2: Authentication Service,Process,Information Disclosure,Authentication Service reveals whether a username exists through differential error messages or timing discrepancies (user enumeration).,Return generic authentication error messages ('Invalid username or password') and use constant-time password comparison routines.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
