id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
1,EE1: End User,External Entity,Spoofing,Attacker impersonates a legitimate user to initiate fraudulent account recovery or claim unauthorized profile ownership.,Enforce strict multi-channel verification (SMS/Email OTP + security keys) and rate-limit recovery attempts.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
2,EE1: End User,External Entity,Repudiation,"User denies initiating account recovery, claiming unauthorized takeover when legitimate profile changes were executed.","Maintain immutable audit logs with client IP, timestamp, user agent, and notification confirmations sent to verified contacts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
3,EE2: External LLM Provider,External Entity,Spoofing,"Rogue endpoint or DNS spoofing impersonating the External LLM Provider, returning fraudulent recovery guidance.","Enforce TLS certificate pinning, DNSSEC, and verified API key authentication on external endpoints.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,7.4
4,EE2: External LLM Provider,External Entity,Repudiation,Third-party LLM provider denies returning deceptive account recovery advice that resulted in account compromise.,Cryptographically log and hash all outbound prompt payloads and incoming raw provider responses with server timestamps.,Verification,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.7
5,P1: Web Frontend Interface,Process,Spoofing,Phishing site or clickjacking iframe mimics the Web Frontend Interface to harvest recovery tokens and credentials.,"Deploy Content Security Policy (CSP), X-Frame-Options: DENY, and HSTS preloading.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
6,P1: Web Frontend Interface,Process,Tampering,DOM-based XSS allows attacker to intercept recovery tokens or tamper with profile update forms in the user browser.,"Enforce contextual HTML encoding, strict CSP without unsafe-inline, and DOMPurify on rendered AI text.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
7,P1: Web Frontend Interface,Process,Repudiation,Frontend fails to capture client-side error states and recovery submission events for audit tracking.,Forward tamper-resistant client telemetry and security event logs to server-side logging pipeline.,Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
8,P1: Web Frontend Interface,Process,Information Disclosure,"Frontend leaks recovery tokens in browser URL query parameters, browser history, or unredacted console logs.",Transmit recovery tokens in request body (POST) and store temporary recovery state in secure memory.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,6.5
9,P1: Web Frontend Interface,Process,Denial of Service,Client-side ReDoS or excessive DOM rendering loops causing the recovery UI to freeze.,Sanitize regex validators and implement client-side timeout guards.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
10,P1: Web Frontend Interface,Process,Elevation of Privilege,Attacker manipulates client-side JavaScript state to bypass recovery validation steps and reach profile editing UI.,Enforce all recovery and profile authorization logic strictly on backend services (P2/P3).,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
11,P2: Account Recovery Service,Process,Spoofing,Attacker conducts automated brute-force attacks against recovery token validation endpoints or predicts weak tokens.,"Generate high-entropy tokens (CSPRNG $\ge 128$ bits), enforce strict attempt throttling, and account lockout.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
12,P2: Account Recovery Service,Process,Tampering,Tampering with recovery state variables or parameter manipulation allowing recovery token replay after initial consumption.,Enforce atomic single-use token consumption and state machine transitions in a database transaction.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
13,P2: Account Recovery Service,Process,Repudiation,"Absence of structured audit logs for recovery initiation, token generation, validation success/failures, and token revocations.","Implement immutable SIEM logging capturing timestamp, user ID, client IP, recovery type, and outcome.",Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,7.5
14,P2: Account Recovery Service,Process,Information Disclosure,Recovery Service reveals whether an email/username is registered via timing differences or distinct error responses.,"Return uniform generic responses ('If the account exists, instructions have been sent') with constant-time response delay.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
15,P2: Account Recovery Service,Process,Denial of Service,Massive automated recovery requests exhausting notification email/SMS quotas and server compute threads.,"Implement IP/user rate limiting, CAPTCHA on recovery initiation, and tiered notification provider fallback.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
16,P2: Account Recovery Service,Process,Elevation of Privilege,Flaws in recovery verification logic allowing an attacker to bypass identity checks and gain full account takeover.,"Conduct rigorous zero-trust testing, multi-factor recovery verification, and fail-closed authorization design.",Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
17,P3: Profile Management Service,Process,Spoofing,Unauthorized internal service or rogue client impersonates P2 to submit unauthenticated profile modification requests.,Require mTLS and cryptographically signed internal authorization tokens issued only after successful recovery.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
18,P3: Profile Management Service,Process,Tampering,"Mass assignment or parameter tampering allowing modification of protected profile attributes (e.g. role, admin flag).",Use strict schema whitelisting for allowable profile fields; reject unexpected or privileged fields.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
19,P3: Profile Management Service,Process,Repudiation,"Profile updates occur without audit logging, preventing determination of when an email or phone was changed.",Record comprehensive audit trails for all profile attribute mutations with before/after diffs and actor ID.,Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
20,P3: Profile Management Service,Process,Information Disclosure,Insecure profile querying allows users to inspect profile details and PII of other unauthorized accounts.,Enforce object-level access control (BOLA checks) validating that the user ID matches the authorized session.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
21,P3: Profile Management Service,Process,Denial of Service,Repeated high-frequency profile update requests exhausting database write connections.,Implement per-user rate limits and database write transaction concurrency limits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5
22,P3: Profile Management Service,Process,Elevation of Privilege,Profile service allows changing security email or phone number without triggering re-authentication / confirmation.,Require step-up authentication or confirmation notice to old contact method for sensitive profile changes.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
23,P4: AI Account Support Assistant,Process,Spoofing,Attacker injects forged session context to trick the AI assistant into answering queries about victim accounts.,Validate session identity and bind all support assistant conversations to verified server-side session IDs.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
24,P4: AI Account Support Assistant,Process,Tampering,Direct prompt injection via user support questions overriding system instructions to extract internal recovery procedures.,"Isolate user input using XML/Markdown delimiters, and apply prompt safety classifiers before forwarding.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5
25,P4: AI Account Support Assistant,Process,Repudiation,Missing audit logs for user support queries and assistant guidance prevents tracking social engineering attempts.,"Log user questions, context passed, and AI responses with session IDs into secure audit storage.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
26,P4: AI Account Support Assistant,Process,Information Disclosure,"AI Assistant receives or displays raw recovery tokens, security questions, or unredacted profile information.","Enforce strict data minimization: never provide recovery tokens, passwords, or reset secrets to AI assistant.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
27,P4: AI Account Support Assistant,Process,Denial of Service,Excessive support queries sent to AI assistant exhausting compute resources and memory buffers.,"Impose per-user rate limiting, max query length caps, and asynchronous query handling.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
28,P4: AI Account Support Assistant,Process,Elevation of Privilege,User tricks AI assistant into issuing recovery bypass instructions or generating simulated authorization tokens.,"Ensure AI outputs are treated as untrusted text only, never processed as authorization decisions or security tokens.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
29,P5: LLM Integration Service,Process,Spoofing,Rogue internal service impersonates P4 to send arbitrary prompt generation requests to LLM Integration Service.,Require mTLS and internal service token authentication between P4 and P5.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
30,P5: LLM Integration Service,Process,Tampering,Tampering with system prompt templates or context parameters allowing jailbreak attacks against account support rules.,"Store prompt templates as immutable, cryptographically verified code assets.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
31,P5: LLM Integration Service,Process,Repudiation,"Service fails to log outgoing LLM prompts, token consumption, latency, and error responses from provider.","Record request hashes, token usage, latency, and provider response metadata in centralized telemetry.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
32,P5: LLM Integration Service,Process,Information Disclosure,Server-side LLM provider API credentials or confidential system prompt instructions exposed in error logs.,Store API keys in KMS / Secret Managers; redact secrets and PII from all logs.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
