Threat_ID,Threat_Name,Affected_Component,Affected_Data_Flow,Affected_Trust_Boundary,Affected_Asset,Attack_Vector,Security_Impact,Evidence_Reasoning,AI_LLM_Specific,STRIDE_Category,Severity,Threat_Source,Primary_Category
T-01,Online brute-force password guessing,P2 Authentication Service (reached via P1 Web Frontend),"DF1, DF2, DF3",TB1,User credentials; authentication decision,"An unauthenticated attacker automates high-volume credential submissions against the login endpoint, iterating a password dictionary until the verification result returned on DF4 indicates success.","Account takeover. Because the baseline design specifies no multi-factor authentication (Assumption A6), one guessed password yields a session token via DF5/DF6.","P2 is the authentication decision point and is reachable by any anonymous client because DF1 crosses TB1 from the untrusted user environment into the application environment. No rate-limiting or lockout control is specified on DF1 or DF2, so repeated DF2 to DF3 verification cycles are unbounded. STRIDE-per-element assigns Spoofing to P2; OWASP A07 and ASVS V2.2 require anti-automation at this exact point.",No,Spoofing,High,STRIDE-derived,Authentication
T-02,Credential stuffing using breached credential corpora,P2 Authentication Service,"DF1, DF2",TB1,User credentials; user accounts,"Distributed low-rate replay of externally breached username/password pairs across many accounts and source addresses, defeating per-account counters and simple address throttling.","Mass account takeover proportional to the password-reuse rate in the user population, with a session token issued on DF6 for every successful pair.","Like T-01 this exploits the anonymous reachability of DF1 across TB1 into P2, but the attack path differs: it is breadth-first across accounts rather than depth-first against one, so the DF2 request pattern is statistically different and per-account throttling at P2 does not detect it. Retained as a separate threat because OWASP treats credential stuffing and brute force as distinct attack techniques with distinct controls (breached-password screening versus lockout).",No,Spoofing,High,OWASP Application Security,Authentication
T-03,Username and account enumeration,P2 Authentication Service; P1 Web Frontend,"DF1, DF2, DF4",TB1,Account existence metadata (PII),"The attacker compares error text, HTTP status codes, redirect targets or response latency between existing and non-existing accounts across the login and registration functions.","Produces a validated target list that raises the yield of T-01, T-02 and T-05, and discloses membership information about identifiable persons.","The verification outcome produced by DS1 on DF4 propagates back through P2 and P1 and crosses TB1 to the untrusted user environment. Unless P1 and P2 normalise message content and response timing, the internal DF3/DF4 result is externally observable, which is an information-disclosure flow across TB1 rather than a flaw inside DS1. ASVS V2.2.x requires uniform authentication responses.",No,Information Disclosure,Medium,OWASP Application Security,Authentication
T-04,Authentication bypass through flawed authentication logic,P2 Authentication Service; P3 Session Management Module,"DF2, DF5",TB1; internal Zone B trust relationship,Authentication decision; session tokens,"Request manipulation that reaches session creation without a successful verification result: parameter tampering, null or array password values, verification-result confusion, or direct invocation of the P3 session-creation interface if it is independently reachable.",Complete authentication bypass. A valid session token is issued on DF6 for an arbitrary identity without any credential ever being verified against DS1.,"DF5 is an intra-Zone-B flow from P2 to P3 and, per Assumption A3, internal calls between application processes are not individually authenticated. Nothing in the data flow model forces DF5 to be preceded by a successful DF3/DF4 verification, so the ordering constraint is an implementation convention rather than an enforced control. The attacker input that drives the bypass enters P1 and P2 across TB1 on DF1 and DF2, so an external actor can reach an unguarded internal transition. This is an architecture-specific finding derived from reading the DF2 to DF5 sequence, and corresponds to OWASP A04 Insecure Design.",No,Spoofing / Elevation of Privilege,Critical,Architecture-specific analysis,Authentication
T-05,Insecure authentication recovery mechanisms,P2 Authentication Service; DS1 User Database,"DF1 (recovery request), DF2, DF3, DF4",TB1; TB3,User credentials; recovery artefacts; authentication decision,"Weaknesses in whichever recovery mechanism implements the stated capability: low-entropy or non-expiring recovery artefacts, artefacts that remain valid after use, verification based on weak knowledge-based questions, or flooding of the recovery function to create a social-engineering pretext.","Full account takeover without knowledge of the original password, bypassing every control placed on the primary login path.","The scenario states that users can recover authentication-related information, so the capability is in scope, but no dedicated component or numbered data flow represents it. The threat is therefore anchored to the components that must implement it: recovery requests enter P2 across TB1 on DF1, and recovery metadata is read from and written to DS1 across TB3 on DF3/DF4. Authentication recovery functionality represents an extension of the authentication lifecycle and introduces similar risks if implemented insecurely, so it is generalised rather than tied to a specific reset-link design that the architecture does not define. The absence of an explicit recovery flow in the diagram is itself recorded as a modelling gap.",No,Spoofing,High,OWASP Application Security,Authentication
T-06,Credential leakage in transit or in application logs,P1 Web Frontend; P2 Authentication Service,"DF1, DF2",TB1 (external leg); internal Zone B leg,User credentials,"Transport downgrade or mixed content on DF1; unencrypted internal transport on DF2; credentials written to request logs, tracing systems, crash dumps or error pages; credentials placed in a URL and captured by intermediaries.","Direct exposure of plaintext passwords, enabling immediate takeover and cross-service reuse attacks.","DF1 and DF2 are the only two flows in the model that carry plaintext credentials. DF1 crosses TB1 and is protected by transport security under Assumption A1, but DF2 is an intra-Zone-B flow between P1 and P2 and is frequently assumed safe because it does not cross a drawn boundary; that assumption is what this threat tests. OWASP A02 and A09 apply.",No,Information Disclosure,High,STRIDE-derived,Authentication
T-07,Weak password policy combined with inadequate hash configuration,P2 Authentication Service; DS1 User Database,"DF1 (registration), DF3 (write path)",TB1; TB3,User credentials; password hashes,"Registration accepts short, common or previously breached passwords, and DS1 stores them using a fast or unsalted digest, so an attacker who obtains the store recovers plaintext at scale offline.",Multiplies the impact of every other credential threat and converts a database disclosure into a population-wide plaintext credential breach.,"Policy enforcement is a design-time control located at P2 on the DF1 registration path, and hash configuration is a storage control located at DS1 behind TB3. Neither is visible in the flow labels, so both must be stated explicitly. Assumption A2 states that adaptive hashing is intended; this threat deliberately models the failure of that assumption because the consequence, in combination with T-18, is severe. OWASP A02 and ASVS V2.4 apply.",No,Information Disclosure / Tampering,Medium,OWASP Application Security,Authentication
T-08,Injection into the credential verification query,P2 Authentication Service; DS1 User Database,"DF3, DF4",TB3,User credentials; password hashes; authentication decision,"Attacker-supplied input from DF1 is concatenated into the DF3 query, enabling tautology-based authentication bypass, union-based extraction of the user table, or blind boolean and time-based extraction of stored hashes.","Simultaneous authentication bypass and mass disclosure of usernames and password hashes, which is the worst combined confidentiality and access-control outcome available in this architecture.","DF3, issued by P2 against DS1, is the only flow in the model where untrusted text that entered P1 across TB1 is transformed into a command interpreted by a higher-authority component across TB3. The taint path DF1 to DF2 to DF3 contains no sanitisation element, which makes this a confused-deputy condition at the TB3 crossing rather than a generic coding concern. OWASP A03 applies.",No,Tampering / Elevation of Privilege,Critical,STRIDE-derived,Authorization
T-09,Excessive database privileges across the application-to-database boundary,"Application services and database layer (P2, P3, P4 interacting with DS1, DS2, DS3)","DF3, DF4, SF1, SF2",TB3,User credentials; session tokens; LLM context repository,Application services share a single broadly privileged database principal instead of holding separate least-privilege principals scoped to the store each service legitimately requires.,"Compromise of any one application service yields read or write access to stores it does not need, so a defect in a lower-value service can expose authentication credentials in DS1 or session tokens in DS2.","TB3 exists to ensure that access to authentication and session data is subject to controlled authorisation. The model shows three distinct services crossing TB3 towards three distinct stores with disjoint legitimate needs: P2 to DS1 on DF3/DF4, P3 to DS2 on SF1, and P4 to DS3 on SF2. Application components interacting with sensitive databases require appropriate privilege separation. Excessive database permissions may allow compromise of one application component to affect stored authentication information. If privilege separation is not enforced at the database-principal level, TB3 is documented but not implemented. This threat makes no claim that the chatbot or the LLM accesses the authentication databases; the architecture states the opposite, and privilege separation is the control that keeps that stated property true.",No,Elevation of Privilege,High,Architecture-specific analysis,Authorization
T-10,Broken object-level authorisation on account data,P2 Authentication Service; P1 Web Frontend,"DF2, DF3, DF4",TB1; TB3,Account information (PII); authentication decision,"An authenticated user substitutes another user's identifier in an account or recovery request, and P2 composes the DF3 query from the client-supplied identifier rather than from the identity bound to the session.","Unauthorised read or modification of other users' account information held in DS1, and potential takeover where the recovery capability is reachable this way.","Identity is established when DF4 returns a successful verification result, but the model contains no enforcement element that binds subsequent DS1 access on DF3 to that established identity. Authentication and authorisation are therefore separable in this design: a request may cross TB1 with a valid session and still address another subject's data across TB3. OWASP A01 applies.",No,Elevation of Privilege / Information Disclosure,High,OWASP Application Security,Authorization
